,Date,Open,High,Low,Close,Volume,Trading Value,index,Close_9020,Date_9020,diff_9020,Close_9021,Date_9021,diff_9021,Close_9048,Date_9048,diff_9048
21,2016/11/30,18530,18685,18425,18680,849300,15777327000,21,9766,2016/11/30,-0.0034693877551020824,6957,2016/11/30,0.002449567723342927,561,2016/11/30,0.008992805755395628
22,2016/11/29,18460,18610,18350,18535,663700,12288163500,22,9800,2016/11/29,-0.007494429815677495,6940,2016/11/29,0.017893810501613316,556,2016/11/29,0.005424954792043302
23,2016/11/28,18540,18620,18460,18535,556500,10318516500,23,9874,2016/11/28,0.001724662676270583,6818,2016/11/28,0.00872910193815657,553,2016/11/28,0.009124087591240837
24,2016/11/25,18375,18625,18345,18610,478000,8858338000,24,9857,2016/11/25,0.006124323772583429,6759,2016/11/25,0.0121293800539084,548,2016/11/25,0.009208103130755152
25,2016/11/24,18335,18450,18250,18375,345500,6342275000,25,9797,2016/11/24,0.004923581905836416,6678,2016/11/24,0.005420054200542035,543,2016/11/24,-0.005494505494505475
26,2016/11/22,18065,18250,18040,18170,353300,6421618000,26,9749,2016/11/22,0.00443024933031122,6642,2016/11/22,0.0036264732547597323,546,2016/11/22,-0.001828153564899404
27,2016/11/21,18070,18170,17925,18095,358400,6476425000,27,9706,2016/11/21,0.0015478278815395097,6618,2016/11/21,0.0027272727272726893,547,2016/11/21,-0.0018248175182481452
28,2016/11/18,17970,18120,17900,18095,671100,12116317500,28,9691,2016/11/18,0.015615175015720073,6600,2016/11/18,0.01726263871763245,548,2016/11/18,0.020484171322160183
29,2016/11/17,17465,17825,17455,17825,676200,11971373500,29,9542,2016/11/17,0.011233573548113718,6488,2016/11/17,0.004800991172370983,537,2016/11/17,0.026768642447418722
30,2016/11/16,17385,17570,17220,17505,483500,8433507500,30,9436,2016/11/16,0.013098561305561418,6457,2016/11/16,0.014454045561665296,523,2016/11/16,-0.003809523809523818
31,2016/11/15,17625,17650,17135,17180,687700,11877210000,31,9314,2016/11/15,-0.008621607237892515,6365,2016/11/15,-0.014553336429787844,525,2016/11/15,0.0
32,2016/11/14,17560,17630,17415,17630,472500,8292406500,32,9395,2016/11/14,0.01403130059363189,6459,2016/11/14,0.013017565872019965,525,2016/11/14,-0.007561436672967825
33,2016/11/11,17520,17545,17305,17405,615600,10711659500,33,9265,2016/11/11,0.007393715341959428,6376,2016/11/11,-0.007008254166017802,529,2016/11/11,-0.02757352941176472
34,2016/11/10,17480,17510,17075,17350,725400,12513265500,34,9197,2016/11/10,0.042389210019267765,6421,2016/11/10,0.040849408331982584,544,2016/11/10,0.0036900369003689537
35,2016/11/9,17350,17615,16540,16680,717400,12153675000,35,8823,2016/11/9,-0.023464305478693936,6169,2016/11/9,-0.025126422250316027,542,2016/11/9,-0.010948905109489093
36,2016/11/8,17475,17490,17160,17235,419000,7233711000,36,9035,2016/11/8,-0.005831866197183122,6328,2016/11/8,-0.006125333752159623,548,2016/11/8,-0.007246376811594235
37,2016/11/7,17610,17675,17405,17510,436100,7642108000,37,9088,2016/11/7,0.01394622336271345,6367,2016/11/7,0.010314185972707168,552,2016/11/7,0.001814882032667775
38,2016/11/4,17530,17575,17220,17310,619300,10735993000,38,8963,2016/11/4,-0.010269434628975227,6302,2016/11/4,0.011881824020552267,551,2016/11/4,-0.012544802867383464
39,2016/11/2,17930,17945,17625,17680,496100,8798045000,39,9056,2016/11/2,-0.022663500971292883,6228,2016/11/2,-0.01828499369482972,558,2016/11/2,-0.007117437722419906
40,2016/11/1,17915,18110,17830,18105,580200,10458141500,40,9266,2016/11/1,0.0009722372258831324,6344,2016/11/1,-0.01977750309023485,562,2016/11/1,0.014440433212996373
41,2016/10/31,17840,17925,17615,17865,735900,13107706500,41,9257,2016/10/31,-0.011004273504273465,6472,2016/10/31,-0.028228228228228236,554,2016/10/31,-0.003597122302158251
42,2016/10/28,17935,17995,17605,17805,1488300,26510794500,42,9360,2016/10/28,-0.006685768863419317,6660,2016/10/28,0.012927756653992484,556,2016/10/28,0.0018018018018017834
43,2016/10/27,17700,18245,17650,17895,923400,16597329000,43,9423,2016/10/27,0.0017008610609121622,6575,2016/10/27,0.007045489355184564,555,2016/10/27,0.005434782608695565
44,2016/10/26,17335,17545,17255,17520,557500,9724385000,44,9407,2016/10/26,-0.0021215657154980416,6529,2016/10/26,-0.007298160255435615,552,2016/10/26,0.001814882032667775
45,2016/10/25,17240,17340,17190,17310,528400,9129511000,45,9427,2016/10/25,0.008774745853397548,6577,2016/10/25,0.011690509152438189,551,2016/10/25,0.0
46,2016/10/24,17245,17275,17070,17240,384500,6607727500,46,9345,2016/10/24,0.011911207363291876,6501,2016/10/24,0.009002017693620967,551,2016/10/24,0.007312614259597838
47,2016/10/21,17095,17305,17060,17245,469300,8087852000,47,9235,2016/10/21,-0.005277897457992231,6443,2016/10/21,0.012731845331656721,547,2016/10/21,-0.012635379061371799
48,2016/10/20,17045,17320,16960,17265,613700,10546611000,48,9284,2016/10/20,0.022129252449631265,6362,2016/10/20,0.011768447837150031,554,2016/10/20,0.00910746812386165
49,2016/10/19,16955,17075,16930,17050,427900,7282006000,49,9083,2016/10/19,-0.001538968890843151,6288,2016/10/19,0.00543652062679878,549,2016/10/19,0.003656307129798808
50,2016/10/18,16820,16980,16695,16960,512900,8629738500,50,9097,2016/10/18,-0.0010980564401009696,6254,2016/10/18,0.0014411529223379294,547,2016/10/18,0.014842300556586308
51,2016/10/17,16970,17040,16850,16985,389400,6599863000,51,9107,2016/10/17,-0.00021956306949166837,6245,2016/10/17,0.003696560591449627,539,2016/10/17,-0.003696857670979714
52,2016/10/14,16985,17040,16885,17005,551800,9368861500,52,9109,2016/10/14,0.004521393912659821,6222,2016/10/14,-0.0019249278152069227,541,2016/10/14,-0.0036832412523020164
53,2016/10/13,17190,17215,16975,17080,454800,7765398000,53,9068,2016/10/13,-0.0076603195447580985,6234,2016/10/13,-0.006375518010838355,543,2016/10/13,0.0018450184501845879
54,2016/10/12,17190,17385,17150,17205,461500,7962056000,54,9138,2016/10/12,-0.007278652906029359,6274,2016/10/12,-0.003652532952199472,542,2016/10/12,0.0
55,2016/10/11,17375,17425,17275,17355,331700,5754175000,55,9205,2016/10/11,0.015556045895851689,6297,2016/10/11,0.0035059760956175356,542,2016/10/11,0.005565862708719838
56,2016/10/7,17580,17580,17225,17340,360400,6252129000,56,9064,2016/10/7,-0.002640845070422504,6275,2016/10/7,-0.011499684940138644,539,2016/10/7,-0.007366482504604033
57,2016/10/6,17415,17570,17325,17510,411000,7193933000,57,9088,2016/10/6,-0.0004399472063352228,6348,2016/10/6,0.010023866348448651,543,2016/10/6,0.0
58,2016/10/5,17435,17445,17305,17415,371000,6450378500,58,9092,2016/10/5,-0.003398005042201002,6285,2016/10/5,0.00608291980150466,543,2016/10/5,-0.009124087591240837
59,2016/10/4,17520,17520,17345,17435,333300,5801372000,59,9123,2016/10/4,-0.00043826010737368915,6247,2016/10/4,-0.012332015810276653,548,2016/10/4,0.0
60,2016/10/3,17410,17590,17345,17395,265500,4631489000,60,9127,2016/10/3,0.005176211453744584,6325,2016/10/3,0.0139467778134017,548,2016/10/3,-0.0018214936247723523
61,2016/9/30,17095,17400,17005,17210,525600,9054924500,61,9080,2016/9/30,-0.008625395785566092,6238,2016/9/30,-0.017173467780053575,549,2016/9/30,0.003656307129798808
62,2016/9/29,17435,17530,17255,17410,356700,6213903000,62,9159,2016/9/29,0.00970124572814468,6347,2016/9/29,0.0018942383583266942,547,2016/9/29,-0.007259528130671544
63,2016/9/28,17570,17585,17300,17440,361300,6291740500,63,9071,2016/9/28,-0.010903936321011831,6335,2016/9/28,-0.01615157633172848,551,2016/9/28,-0.008992805755395739
64,2016/9/27,17345,17600,17055,17600,476100,8291213000,64,9171,2016/9/27,-0.002393125203959512,6439,2016/9/27,0.0067229518449030135,556,2016/9/27,0.012750455373406133
65,2016/9/26,17615,17640,17305,17350,311700,5434471000,65,9193,2016/9/26,-0.020249387189598234,6396,2016/9/26,-0.012810618922673211,549,2016/9/26,0.003656307129798808
66,2016/9/23,17675,17695,17455,17625,522200,9189508500,66,9383,2016/9/23,0.01734793451154726,6479,2016/9/23,0.009661835748792313,547,2016/9/23,-0.0036429872495445936
67,2016/9/21,17465,17735,17055,17725,687600,11997806000,67,9223,2016/9/21,0.027746824158680683,6417,2016/9/21,0.030346820809248554,549,2016/9/21,0.03195488721804507
68,2016/9/20,17445,17575,17305,17465,542600,9466500000,68,8974,2016/9/20,0.002793608224382682,6228,2016/9/20,0.0022529771483745797,532,2016/9/20,0.01526717557251911
69,2016/9/16,17225,17590,17155,17585,605500,10553599500,69,8949,2016/9/16,0.014280856851411006,6214,2016/9/16,0.029319198277290015,524,2016/9/16,0.02946954813359537
70,2016/9/15,17115,17225,17040,17100,357100,6117799500,70,8823,2016/9/15,-0.020319786808794094,6037,2016/9/15,-0.015331919752079592,509,2016/9/15,-0.011650485436893177
71,2016/9/14,17065,17260,17005,17165,276600,4750021000,71,9006,2016/9/14,0.0007778642071341046,6131,2016/9/14,0.015234310316277533,515,2016/9/14,0.009803921568627416
72,2016/9/13,17185,17240,17045,17105,248700,4259023000,72,8999,2016/9/13,0.004576914489841544,6039,2016/9/13,0.009191176470588314,510,2016/9/13,0.0019646365422396617
73,2016/9/12,17010,17185,16950,17125,304400,5196015000,73,8958,2016/9/12,-0.011367398741860768,5984,2016/9/12,-0.011399306129192155,509,2016/9/12,-0.005859375
74,2016/9/9,17210,17290,17020,17185,497800,8552051500,74,9061,2016/9/9,-0.0013226055328998676,6053,2016/9/9,-0.0009902624195411436,512,2016/9/9,-0.01538461538461533
75,2016/9/8,17190,17405,17170,17405,510100,8845473000,75,9073,2016/9/8,-0.0023092148669452417,6059,2016/9/8,0.0008259002312520636,520,2016/9/8,-0.018867924528301883
76,2016/9/7,17120,17230,17005,17165,390500,6683865000,76,9094,2016/9/7,0.00010997470581775026,6054,2016/9/7,-0.0039486673247778326,530,2016/9/7,0.021194605009633882
77,2016/9/6,17155,17155,17045,17120,307900,5265211000,77,9093,2016/9/6,0.0008805723720417546,6078,2016/9/6,0.00662471016893007,519,2016/9/6,0.007766990291262044
78,2016/9/5,17270,17305,17100,17145,258700,4446000500,78,9085,2016/9/5,0.006536671836915531,6038,2016/9/5,0.014960497562615638,515,2016/9/5,0.007827788649706457
79,2016/9/2,17080,17230,17030,17140,276800,4742581000,79,9026,2016/9/2,0.010071620411817417,5949,2016/9/2,0.01053167997282145,511,2016/9/2,0.0
80,2016/9/1,16900,17040,16750,16965,292500,4951052500,80,8936,2016/9/1,0.008577878103837477,5887,2016/9/1,-0.005910165484633523,511,2016/9/1,0.007889546351084853
81,2016/8/31,16895,17050,16710,16990,418200,7074698000,81,8860,2016/8/31,0.01083856246434678,5922,2016/8/31,0.03116837889604729,507,2016/8/31,-0.0019685039370078705
82,2016/8/30,16840,16955,16750,16785,330600,5557949000,82,8765,2016/8/30,-0.01704609173488847,5743,2016/8/30,-0.011531841652323571,508,2016/8/30,-0.013592233009708687
83,2016/8/29,17280,17285,17030,17085,209000,3576292500,83,8917,2016/8/29,0.0025860130425006123,5810,2016/8/29,-0.0064979480164159,515,2016/8/29,-0.013409961685823757
84,2016/8/26,17250,17275,16905,16905,331900,5639473000,84,8894,2016/8/26,-0.010348280850116853,5848,2016/8/26,-0.013994267408531491,522,2016/8/26,-0.016949152542372836
85,2016/8/25,17325,17325,17120,17230,419200,7216908500,85,8987,2016/8/25,-0.006412382531785554,5931,2016/8/25,-0.015111258718033871,531,2016/8/25,0.003780718336483968
86,2016/8/24,17305,17390,17095,17290,358400,6183521500,86,9045,2016/8/24,0.025510204081632626,6022,2016/8/24,0.011590794557366113,529,2016/8/24,0.013409961685823646
87,2016/8/23,16705,17290,16705,17150,484200,8270089000,87,8820,2016/8/23,0.006389776357827559,5953,2016/8/23,0.011039402173913082,522,2016/8/23,0.015564202334630295
88,2016/8/22,16620,16865,16305,16735,501200,8369052500,88,8764,2016/8/22,0.03397829164700328,5888,2016/8/22,0.03153468815697269,514,2016/8/22,0.0
89,2016/8/19,16800,16800,16305,16600,654300,10792002500,89,8476,2016/8/19,-0.013845258871436839,5708,2016/8/19,-0.010745233968804113,514,2016/8/19,-0.003875968992248069
90,2016/8/18,16965,17100,16840,16855,358000,6055648000,90,8595,2016/8/18,-0.013542981751405891,5770,2016/8/18,-0.01283147989734812,516,2016/8/18,-0.020872865275142316
91,2016/8/17,17230,17265,16955,17105,387500,6619994500,91,8713,2016/8/17,-0.007969941933280156,5845,2016/8/17,-0.01150008455944529,527,2016/8/17,-0.009398496240601517
92,2016/8/16,17600,17640,17325,17325,349000,6083377500,92,8783,2016/8/16,-0.00577314919628702,5913,2016/8/16,-0.005717168320161448,532,2016/8/16,0.0018832391713747842
93,2016/8/15,17675,17725,17560,17570,246400,4341988500,93,8834,2016/8/15,-0.005404188245890618,5947,2016/8/15,-0.0045195848677602735,531,2016/8/15,-0.013011152416356864
